m;ep;C 
6;30.598;1.0000000000
6;31.210;1.0000000000
6;31.834;1.0000000000
6;32.471;1.0000000000
6;33.121;1.0000000000
6;33.783;1.0000000000
6;34.459;1.0000000000
6;35.148;1.0000000000
6;35.851;1.0000000000
6;36.568;1.0000000000
6;37.299;1.0000000000
6;38.045;1.0000000000
6;38.806;1.0000000000
6;39.582;1.0000000000
6;40.374;1.0000000000
6;41.181;1.0000000000
6;42.005;1.0000000000
6;42.845;1.0000000000
6;43.702;1.0000000000
6;44.576;1.0000000000
6;45.467;1.0000000000
6;46.377;1.0000000000
6;47.304;1.0000000000
6;48.250;1.0000000000
6;49.215;1.0000000000
6;50.200;1.0000000000
6;51.204;1.0000000000
6;52.228;1.0000000000
6;53.272;1.0000000000
6;54.338;1.0000000000
6;55.425;1.0000000000
6;56.533;1.0000000000
6;57.664;1.0000000000
6;58.817;1.0000000000
6;59.993;1.0000000000
6;61.193;1.0000000000
6;62.417;1.0000000000
6;63.665;1.0000000000
6;64.939;1.0000000000
6;66.238;1.0000000000
6;67.562;1.0000000000
6;68.914;1.0000000000
6;70.292;1.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;nan;1.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;-1.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;-nan;1.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
6;0.000;0.0000000000
7;15.300;0.8826516974
7;15.606;0.8920074846
7;15.918;0.9021651965
7;16.236;0.9067094360
7;16.561;0.9149959904
7;16.892;0.9222133119
7;17.230;0.9334402566
7;17.575;0.9454691259
7;17.926;0.9550922213
7;18.285;0.9721999465
7;18.651;0.9860999733
7;19.024;0.9943865277
7;19.404;0.9983961508
7;19.792;0.9994653836
7;20.188;1.0000000000
7;20.592;1.0000000000
7;21.004;1.0000000000
7;21.424;1.0000000000
7;21.852;1.0000000000
7;22.289;1.0000000000
7;22.735;1.0000000000
7;23.190;1.0000000000
7;23.653;1.0000000000
7;24.127;1.0000000000
