m;ep;log_ep,log_C 
5;0.000;-716.2830112342;-inf
5;0.000;-716.2830112342;-inf
5;0.000;-716.2830112342;-inf
5;0.000;-716.2830112342;-inf
5;0.000;-711.8621899990;-inf
5;0.000;-716.2830112247;-inf
5;0.000;-719.0084095205;-inf
5;0.000;-716.2806156743;-inf
5;0.000;-716.2806156744;-inf
5;0.000;-740.2811888380;-inf
5;0.000;-716.2806156743;-inf
5;0.000;-711.8621899991;-inf
5;0.000;-116.1052151732;-inf
5;nan;nan;0.0000000000
5;0.000;-inf;-inf
5;0.000;-716.2806195492;-inf
5;0.000;-716.2806338044;-inf
5;0.000;-738.8988083762;-inf
5;0.000;-711.8621826258;-inf
5;0.000;-716.2806338829;-inf
5;0.000;-716.2806337421;-inf
5;0.000;-inf;-inf
5;0.000;-711.8621826516;-inf
5;0.000;-inf;-inf
5;0.000;-711.8621900122;-inf
5;0.000;-inf;-inf
5;0.000;-inf;-inf
5;-1.000;-nan(ind);-inf
5;0.000;-inf;-inf
5;0.000;-inf;-inf
5;0.000;-inf;-inf
5;0.000;-inf;-inf
5;0.000;-inf;-inf
5;0.000;-711.8621826259;-inf
5;0.000;-716.2806336573;-inf
5;0.000;-719.0404863186;-inf
5;0.000;-716.2806337218;-inf
5;0.000;-744.4400719214;-inf
5;0.000;-711.8621826510;-inf
5;0.000;-716.2808010406;-inf
5;0.000;-743.3414596327;-inf
5;0.000;-744.4400719214;-inf
5;0.000;-716.2808010406;-inf
5;0.000;-711.8621899990;-inf
5;0.000;-inf;-inf
5;0.000;-inf;-inf
5;0.000;-inf;-inf
5;0.000;-716.2807947673;-inf
5;0.000;-711.8621900137;-inf
5;0.000;-744.4400719214;-inf
5;0.000;-719.0084095349;-inf
5;0.000;-711.8621899990;-inf
5;0.000;-744.4400719214;-inf
5;0.000;-744.4400719214;-inf
5;0.000;-744.4400719214;-inf
5;0.000;-inf;-inf
5;0.000;-719.0084095363;-inf
5;0.000;-719.0084095364;-inf
5;0.000;-719.0084095208;-inf
5;0.000;-744.4400719214;-inf
5;0.000;-716.2830112342;-inf
5;0.000;-inf;-inf
5;0.000;-inf;-inf
5;0.000;-716.2807947673;-inf
5;0.000;-711.8621900099;-inf
5;0.000;-719.0084095234;-inf
5;0.000;-744.4400719214;-inf
5;0.000;-716.2806156741;-inf
5;0.000;-716.2806156743;-inf
5;0.000;-inf;-inf
5;-nan;-nan;0.0000000000
5;0.000;-740.2811888380;-inf
5;0.000;-741.6674831991;-inf
5;0.000;-744.4400719214;-inf
5;0.000;-inf;-inf
5;0.000;-716.2806336790;-inf
5;0.000;-716.2807999920;-inf
5;0.000;-716.2806337202;-inf
5;0.000;-743.3414596327;-inf
5;0.000;-711.8621826259;-inf
5;0.000;-716.2806367980;-inf
5;0.000;-716.2806195487;-inf
5;0.000;-716.2807997508;-inf
5;0.000;-716.2806195487;-inf
5;0.000;-711.8621826527;-inf
5;0.000;-716.2806336696;-inf
5;0.000;-741.9551652716;-inf
5;0.000;-716.2806195487;-inf
5;0.000;-711.8621826515;-inf
5;0.000;-716.2830112342;-inf
5;0.000;-716.2807997508;-inf
5;0.000;-711.8621826259;-inf
5;0.000;-716.2806195487;-inf
6;15.300;2.7278528284;-0.0869185222
6;15.606;2.7476554557;-0.0830263849
6;15.918;2.7674580830;-0.0761135964
6;16.236;2.7872607103;-0.0697957619
6;16.561;2.8070633376;-0.0586315888
6;16.892;2.8268659649;-0.0449161661
6;17.230;2.8466685922;-0.0353467150
6;17.575;2.8664712195;-0.0159591547
6;17.926;2.8862738468;-0.0046071236
6;18.285;2.9060764741;-0.0023009086
6;18.651;2.9258791014;-0.0002553952
6;19.024;2.9456817287;0.0000000000
6;19.404;2.9654843560;0.0000000000
6;19.792;2.9852869832;0.0000000000
6;20.188;3.0050896105;0.0000000000
6;20.592;3.0248922378;0.0000000000
6;21.004;3.0446948651;0.0000000000
6;21.424;3.0644974924;0.0000000000
6;21.852;3.0843001197;0.0000000000
6;22.289;3.1041027470;0.0000000000
6;22.735;3.1239053743;0.0000000000
6;23.190;3.1437080016;0.0000000000
6;23.653;3.1635106289;0.0000000000
6;24.127;3.1833132562;0.0000000000
6;24.609;3.2031158835;0.0000000000
6;25.101;3.2229185108;0.0000000000
6;25.603;3.2427211381;0.0000000000
6;26.115;3.2625237654;0.0000000000
6;26.638;3.2823263927;0.0000000000
6;27.170;3.3021290200;0.0000000000
6;27.714;3.3219316473;0.0000000000
6;28.268;3.3417342746;0.0000000000
6;28.833;3.3615369019;0.0000000000
6;29.410;3.3813395292;0.0000000000
6;29.998;3.4011421565;0.0000000000
6;30.598;3.4209447838;0.0000000000
6;31.210;3.4407474111;0.0000000000
6;31.834;3.4605500384;0.0000000000
6;32.471;3.4803526657;0.0000000000
6;33.121;3.5001552929;0.0000000000
6;33.783;3.5199579202;0.0000000000
6;34.459;3.5397605475;0.0000000000
6;35.148;3.5595631748;0.0000000000
6;35.851;3.5793658021;0.0000000000
6;36.568;3.5991684294;0.0000000000
6;37.299;3.6189710567;0.0000000000
6;38.045;3.6387736840;0.0000000000
6;38.806;3.6585763113;0.0000000000
6;39.582;3.6783789386;0.0000000000
6;40.374;3.6981815659;0.0000000000
6;41.181;3.7179841932;0.0000000000
6;42.005;3.7377868205;0.0000000000
